영어 단어,번역된 한국어 단어
the,그만큼
people,사람들
by,~에 의해
for,~을 위한
currency,통화
don,두목
remove,제거하다
legacy,유산
badges,배지
just,단지
change,변화
color,색상
or,또는
you,너
have,가지다
followers,추종자
since,~부터
and,그리고
checkmark,체크 표시
what,무엇
kind,친절한
am,~이다
studying,공부하는
world,세계
student,학생
english,영어
python,파이썬
englis,englis
i,나
am,~이다
studying,공부하는
world,세계
a,ㅏ
student,학생
english,영어
python,파이썬
englis,englis
worry,걱정하다
difference,차이점
about,~에 대한
is,~이다
that,저것
people,사람들
who,WHO
one,하나
between,~ 사이
ai,일체 포함
and,그리고
other,다른
kinds,종류
of,~의
technologies,기술
g,g
nuclear,핵무기
understand,이해하다
it,그것
well,잘
worry,걱정하다
difference,차이점
about,~에 대한
is,~이다
that,저것
people,사람들
who,WHO
one,하나
between,~ 사이
ai,일체 포함
and,그리고
other,다른
kinds,종류
of,~의
technologies,기술
g,g
nuclear,핵무기
understand,이해하다
it,그것
well,잘
text,텍스트
